GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
,21036,Ant Flat Landfill,OR,,Ant Flat Road,Enterprise,Wallowa,97828,45.458,-117.256,No,Public,"Wallowa County, OR",,,,Open,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
,21037,Baker Sanitary Landfill,OR,,39144 W. Sutton Creek Road,Baker City,Baker,97907,44.7047,-117.7851,No,Private,Baker Sanitary Service,,,,Open,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
,21038,Burns-Hines Disposal Site,OR,,53206 Monroe Lane,Burns,Harney,97720,43.5842,-119.0846,No,Private,C&B Sanitary Service,,,,Open,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
,21039,Chemult Landfill,OR,,"400 Chemult Dump Road
Hwy 97, 1/4 mile south of Chemult",Chemult,Klamath,97731,43.2015,-121.7865,No,Public,"Klamath County, OR",,,,Open,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1007054,1246,Coffin Butte LF,OR,,28972 Coffin Butte Road,Corvallis,Benton,97330,44.69915,-123.22506,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1978,2048,Open,,82,,,"39,154,705","15,783,641",2018,"1,010,276",2018,No,Not used,No,4.46,Yes,2.866,2018,52.3,Yes,2,,,"2012-253 wells, system capacity=4000 acfm.; 3/17-Approx. 300 wells."
1007989,1241,Columbia Ridge LF,OR,,18177 Cedar Springs Lane,Arlington,Gilliam,97812,45.639234,-120.217237,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1990,2145,Open,687,273.5,,250,"391,644,390","55,917,366",2018,"2,612,031",2018,Yes,Several times per year,Yes,,Yes,8.73,2018,52.9,Yes,2,,,"9/10-79 wells over 257 acres, system installed in 1997, 1 enclosed flare.; 2012-74 wells, system capacity=9000 acfm.; 7/14-85 wells.; 2/15-2 enclosed flares & 1 candlestick flare."
1005356,12183,Crook County Landfill,OR,,5601 SW Houston Lake Road,Prineville,Crook,97754,44.304,-120.912,No,Public,"Crook County, OR",,1973,2050,Open,,62.2,,,"79,128,886","1,530,105",2018,"36,945",2018,Yes,Several times per year,No,0.417,No,,,,No,,,,
1005652,2073,Dry Creek Landfill,OR,,6260 Dry Creek Road,Eagle Point,Jackson,97524,42.382,-122.773,No,Private,Rogue Disposal & Recycling,Rogue Disposal & Recycling,1974,2112,Open,200,60,,,"76,698,382","7,528,106",2018,"640,845",2018,No,Not used,No,2.73,Yes,2.368737977,2018,50,Yes,1,1.246779365,2018,"4/01-LFG collection system is being installed.; 8/05-Additional collection wells to be installed in the next year.; 2012-96 wells, system capacity=2350 acfm."
1004516,1242,Finley Buttes Regional Landfill,OR,,73221 Bombing Range Road,Boardman,Morrow,97818,45.7447,-119.623,No,Private,"Waste Connections, Inc.","Waste Connections, Inc.",1990,2242,Open,498,89.7,,,"85,014,551","12,506,606",2018,"766,024",2018,No,Not used,No,2.1,Yes,1.847,2018,50,Yes,,,,"2012-79 wells, system capacity=2000 acfm."
,21040,Haines Landfill,OR,,Haines Dump Road,Haines,Baker,97833,44.9294,-117.919,No,Public,"City of Haines, OR",,,,Open,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
,21041,Humbert Refuse Landfill,OR,,79378 Gerking Flat Road,Athena,Umatilla,97813,45.834,-118.5579,No,Private,"Humbert Refuse and Recycling, Inc.",,,,Open,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1003232,1238,Knott Landfill,OR,Knott Pit Landfill,61050 SE 27th Street,Bend,Deschutes,97702,44.01,-121.255,No,Public,"Deschutes County, OR","Deschutes County, OR",1972,2029,Open,135,89,,100,"23,274,878","4,037,686",2018,"179,113",2018,Yes,Several times per year,No,,Yes,1.288,2018,47.7,Yes,2,1.288,2018,"2012-15 wells, system capacity=750 acfm.; 7/17-New 2,000 cfm candlestick now online, so can now expand GCCS."
,21042,Lytle Boulevard Landfill,OR,,Lytle Boulevard,Vale,Malheur,97918,43.8763,-117.1518,No,Public,"Malheur County Environmental Health, OR",,,,Open,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
,1243,Milton-Freewater LF,OR,,,Milton-Freewater,Umatilla,97862,44.0945,-121.2936,No,Public,City of Milton-Freewater,,1972,2030,Open,45,,,,,"125,000",,"5,075",2001,Unknown,Not used,No,,No,,,,No,,,,
1007687,1248,"Riverbend Landfill Company, Inc.",OR,,13469 SW Highway 18,McMinnville,Yamhill,97128,45.161,-123.247,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1982,2035,Open,88,84.7,,,,"16,444,334",2018,"186,789",2018,No,Not used,No,5.64,Yes,4.67,2012,47.2,Yes,1,,,"5/10-130 wells.; 2012-181 wells, system capacity=4500 acfm."
1005384,1245,Roseburg LF,OR,Douglas County LF,376 Roseburg Landfill Road,Roseburg,Douglas,97470,43.1859,-123.379,No,Public,"Douglas County, OR","Douglas County, OR",1930,2020,Open,,51.4,150,50,"5,200,890","3,527,882",2017,"88,163",2018,No,Not used,No,1.32,Yes,0.555,2017,47.1,Yes,1,,,"3/05-180 cfm candlestick flare.; 9/10-9 wells over 23 acres, gas collection began in 2001, 1 open flare.; 2012-51 wells, system capacity=650 acfm."
1007001,1247,Short Mountain LF,OR,,84777 Dillard Access Road,Eugene,Lane,97405,43.9792,-123.0088,No,Public,"Lane County, OR","Lane County, OR",1976,2080,Open,,79,,200,"43,141,052","9,473,001",2018,"257,456",2018,Yes,Occasionally but not every year,No,4.12,Yes,1.509,2018,44.5,Yes,,0.359,2018,"2012-112 wells, system capacity=2500 acfm.; 3/17-Approx. 120 wells."
,21043,Thomas Creek Road Landfill,OR,Lakeview Landfill; Lake County Landfill,23980 Thomas Creek Road,Lakeview,Lake,97630,42.2835,-120.3677,No,Public,"Lake County Road Department, OR",,,,Open,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1004515,1240,Wasco County Landfill,OR,The Dalles Landfill; Northern Wasco County LF; Wasco Landfill,2550 Steele Road,The Dalles,Wasco,97058,45.56129,-121.14089,No,Private,"Waste Connections, Inc.",,1973,2107,Open,160,69.6,,,"18,373,145","9,062,938",2018,"790,785",2018,Yes,Several times per year,No,0.827,No,,,,No,,,,2012-Passive vents/flares only.
1001844,1277,"Advanced Disposal Chestnut Valley Landfill, Inc.",PA,"J&J LF; Onyx CBF, Inc. LF",1184 McClellandtown Road,McClellandtown,Fayette,15458,39.897,-79.8388,No,Private,Advanced Disposal Services,Advanced Disposal Services,1960,2024,Open,,44,,,"5,069,721","4,432,192",2018,"193,317",2018,No,Not used,No,1.59,Yes,1.468,2018,49.8,Yes,3,1.468,2018,"8/07-1 enclosed flare, 2 back-up candle flares, 60 gas wells.; 9/10-49 vertical & 3 horizontal gas wells, 1 enclosed flare.; 2012-64 wells, system capacity=4500 acfm."
1001643,1288,Advanced Disposal Greentree Landfill,PA,Kersey; BFI Greentree,635 Toby Road,Kersey,Elk,15846,41.2953,-78.6469,No,Private,Advanced Disposal Services,Advanced Disposal Services,1986,2053,Open,,204.6,,,"59,784,189","23,869,380",2018,"565,914",2018,No,Not used,No,13.2,Yes,10.08,,56.8,Yes,3,,,"12/07-160 permanent wells, 25 temporary odor control wells.; 9/10-174 vertical wells, 2 enclosed flares & 1 candlestick flare.; 2012-263 wells, system capacity=10500 acfm."
1004321,1258,Advanced Disposal Services Sandy Run Landfill,PA,Bedford Fulton Huntingdon Solid Waste Authority LF; Hopewell LF; Sandy Run LF,995 Landfill Road,Hopewell,Bedford,16650,40.132,-78.198,No,Private,Advanced Disposal Services,Advanced Disposal Services,1990,2130,Open,65,37.8,,,"5,921,698","2,361,066",2018,"24,631",2018,No,Not used,No,,Yes,1.266,2018,47.7,Yes,,1.266,2018,"7/10-Passive gas collection system w/ 14 wellhead sparking flares, 8 vents."
